Query,Iterazione,Tempo_ms,DBMS
Query 1,1,2093.8,Neo4j Ottimale
Query 1,2,11.24,Neo4j Ottimale
Query 1,3,11.33,Neo4j Ottimale
Query 1,4,10.38,Neo4j Ottimale
Query 1,5,10.92,Neo4j Ottimale
Query 1,6,10.87,Neo4j Ottimale
Query 1,7,10.54,Neo4j Ottimale
Query 1,8,10.79,Neo4j Ottimale
Query 1,9,10.12,Neo4j Ottimale
Query 1,10,11.81,Neo4j Ottimale
Query 2,1,25.33,Neo4j Ottimale
Query 2,2,23.19,Neo4j Ottimale
Query 2,3,22.79,Neo4j Ottimale
Query 2,4,26.35,Neo4j Ottimale
Query 2,5,26.24,Neo4j Ottimale
Query 2,6,21.87,Neo4j Ottimale
Query 2,7,17.09,Neo4j Ottimale
Query 2,8,23.84,Neo4j Ottimale
Query 2,9,23.86,Neo4j Ottimale
Query 2,10,23.98,Neo4j Ottimale
Query 3,1,438.92,Neo4j Ottimale
Query 3,2,423.6,Neo4j Ottimale
Query 3,3,403.38,Neo4j Ottimale
Query 3,4,404.21,Neo4j Ottimale
Query 3,5,413.49,Neo4j Ottimale
Query 3,6,397.32,Neo4j Ottimale
Query 3,7,416.68,Neo4j Ottimale
Query 3,8,406.6,Neo4j Ottimale
Query 3,9,406.99,Neo4j Ottimale
Query 3,10,400.3,Neo4j Ottimale
Query 4,1,195.06,Neo4j Ottimale
Query 4,2,206.21,Neo4j Ottimale
Query 4,3,203.59,Neo4j Ottimale
Query 4,4,154.34,Neo4j Ottimale
Query 4,5,192.66,Neo4j Ottimale
Query 4,6,188.23,Neo4j Ottimale
Query 4,7,177.88,Neo4j Ottimale
Query 4,8,173.03,Neo4j Ottimale
Query 4,9,150.49,Neo4j Ottimale
Query 4,10,155.37,Neo4j Ottimale
Query 5,1,31.61,Neo4j Ottimale
Query 5,2,32.12,Neo4j Ottimale
Query 5,3,25.69,Neo4j Ottimale
Query 5,4,24.88,Neo4j Ottimale
Query 5,5,25.99,Neo4j Ottimale
Query 5,6,24.53,Neo4j Ottimale
Query 5,7,26.63,Neo4j Ottimale
Query 5,8,28.34,Neo4j Ottimale
Query 5,9,36.56,Neo4j Ottimale
Query 5,10,30.48,Neo4j Ottimale
